State Number,Is Accept (1/0),Retract by,other (-1/state):
0,0,0,48
1,0,0,2
2,1,1,-1
3,0,0,4
4,1,1,-1
5,0,0,48
6,0,0,7
7,1,1,-1
8,1,2,-1
9,0,0,48
10,0,0,48
11,0,0,7
12,0,0,17
13,0,0,15
14,1,0,-1
15,1,1,-1
16,1,0,-1
17,1,1,-1
18,0,0,23
19,0,0,20
20,1,1,-1
21,1,0,-1
22,1,0,-1
23,1,1,-1
24,0,0,28
25,0,0,25
26,0,0,25
27,1,0,-1
28,1,1,-1
29,0,0,31
30,1,0,-1
31,1,1,-1
32,0,0,48
33,1,0,-1
34,0,0,48
35,1,0,-1
36,0,0,48
37,1,0,-1
38,1,0,-1
39,1,0,-1
40,1,0,-1
41,1,0,-1
42,1,0,-1
43,1,0,-1
44,1,0,-1
45,1,0,-1
46,1,0,-1
47,1,0,-1
48,0,0,-1
